source,target,thickness,material
0,1,1.00000000,beam_material_b
0,12,1.00000000,beam_material_b
0,13,1.00000000,beam_material_b
0,144,1.00000000,beam_material_b
0,145,1.00000000,beam_material_b
0,146,1.00000000,beam_material_a
0,147,1.00000000,beam_material_b
1,2,1.00000000,beam_material_b
1,13,1.00000000,beam_material_b
1,148,1.00000000,beam_material_b
1,149,1.00000000,beam_material_a
1,150,1.00000000,beam_material_b
2,3,1.00000000,beam_material_a
2,13,1.00000000,beam_material_b
2,14,1.00000000,beam_material_b
2,15,1.00000000,beam_material_a
2,151,1.00000000,beam_material_b
3,4,1.00000000,beam_material_b
3,15,1.00000000,beam_material_b
3,152,1.00000000,beam_material_a
3,153,1.00000000,beam_material_a
4,5,1.00000000,beam_material_b
4,15,1.00000000,beam_material_a
4,16,1.00000000,beam_material_b
4,17,1.00000000,beam_material_b
4,154,1.00000000,beam_material_a
4,155,1.00000000,beam_material_a
4,156,1.00000000,beam_material_b
5,6,1.00000000,beam_material_a
5,17,1.00000000,beam_material_a
5,18,1.00000000,beam_material_b
5,157,1.00000000,beam_material_a
6,7,1.00000000,beam_material_a
6,18,1.00000000,beam_material_a
6,158,1.00000000,beam_material_b
6,159,1.00000000,beam_material_b
7,8,1.00000000,beam_material_a
7,18,1.00000000,beam_material_a
7,19,1.00000000,beam_material_a
7,160,1.00000000,beam_material_a
7,161,1.00000000,beam_material_a
7,162,1.00000000,beam_material_a
8,9,1.00000000,beam_material_a
8,19,1.00000000,beam_material_a
8,20,1.00000000,beam_material_a
8,21,1.00000000,beam_material_a
8,163,1.00000000,beam_material_b
8,164,1.00000000,beam_material_b
9,10,1.00000000,beam_material_a
9,21,1.00000000,beam_material_b
9,22,1.00000000,beam_material_b
9,165,1.00000000,beam_material_a
9,166,1.00000000,beam_material_a
10,11,1.00000000,beam_material_b
10,22,1.00000000,beam_material_a
10,167,1.00000000,beam_material_b
10,168,1.00000000,beam_material_b
11,22,1.00000000,beam_material_b
11,23,1.00000000,beam_material_b
11,169,1.00000000,beam_material_b
11,170,1.00000000,beam_material_a
12,13,1.00000000,beam_material_b
12,24,1.00000000,beam_material_a
12,25,1.00000000,beam_material_a
12,171,1.00000000,beam_material_a
12,172,1.00000000,beam_material_a
13,14,1.00000000,beam_material_b
13,25,1.00000000,beam_material_a
14,15,1.00000000,beam_material_a
14,25,1.00000000,beam_material_b
