source,target
0,1
0,12
0,13
0,144
0,145
0,146
0,147
1,2
1,13
1,148
1,149
1,150
2,3
2,13
2,14
2,15
2,151
3,4
3,15
3,152
3,153
4,5
4,15
4,16
4,17
4,154
4,155
4,156
5,6
5,17
5,18
5,157
6,7
6,18
6,158
6,159
7,8
7,18
7,19
7,160
7,161
7,162
8,9
8,19
8,20
8,21
8,163
8,164
9,10
9,21
9,22
9,165
9,166
10,11
10,22
10,167
10,168
11,22
11,23
11,169
11,170
12,13
12,24
12,25
12,171
12,172
13,14
13,25
14,15
14,25
14,26
14,27
15,16
15,27
16,17
16,27
16,28
17,18
17,28
17,29
17,30
18,19
18,30
18,31
19,20
19,31
20,21
20,31
20,32
21,22
21,32
21,33
22,23
22,33
22,34
22,35
23,35
23,173
23,174
24,25
24,36
24,175
24,176
25,26
25,36
25,37
25,38
26,27
26,38
26,39
27,28
27,39
28,29
28,39
28,40
29,30
29,40
29,41
29,42
30,31
30,42
31,32
31,42
31,43
32,33
32,43
32,44
32,45
33,34
33,45
33,46
34,35
34,46
35,46
35,47
35,177
35,178
36,37
36,48
36,49
36,179
37,38
37,49
38,39
38,49
38,50
39,40
39,50
39,51
40,41
40,51
40,52
41,42
41,52
41,53
41,54
42,43
42,54
42,55
43,44
43,55
43,56
44,45
44,56
44,57
45,46
45,57
45,58
46,47
46,58
47,58
47,59
47,180
47,181
47,182
48,49
48,60
48,61
48,183
48,184
49,50
49,61
50,51
50,61
50,62
50,63
51,52
51,63
51,64
52,53
52,64
52,65
53,54
53,65
53,66
54,55
54,66
54,67
55,56
55,67
55,68
56,57
56,68
57,58
57,68
57,69
57,70
58,59
58,70
59,70
59,71
59,185
59,186
60,61
60,72
60,73
60,187
60,188
60,189
61,62
61,73
62,63
62,73
62,74
63,64
63,74
63,75
64,65
64,75
64,76
64,77
65,66
65,77
65,78
66,67
66,78
67,68
67,78
67,79
68,69
68,79
68,80
69,70
69,80
69,81
69,82
70,71
70,82
71,82
71,83
71,190
72,73
72,84
72,85
72,191
73,74
73,85
73,86
74,75
74,86
75,76
75,86
75,87
75,88
76,77
76,88
77,78
77,88
77,89
77,90
78,79
78,90
78,91
79,80
79,91
80,81
80,91
80,92
80,93
81,82
81,93
81,94
82,83
82,94
83,94
83,95
83,192
83,193
83,194
84,85
84,96
84,195
84,196
85,86
85,96
85,97
86,87
86,97
86,98
86,99
87,88
87,99
87,100
88,89
88,100
89,90
89,100
89,101
89,102
90,91
90,102
91,92
91,102
91,103
91,104
92,93
92,104
93,94
93,104
93,105
94,95
94,105
94,106
95,106
95,107
95,197
95,198
96,97
96,108
96,199
96,200
97,98
97,108
97,109
98,99
98,109
98,110
98,111
99,100
99,111
100,101
100,111
100,112
101,102
101,112
101,113
101,114
102,103
102,114
102,115
103,104
103,115
103,116
104,105
104,116
104,117
105,106
105,117
105,118
106,107
106,118
106,119
107,119
107,201
107,202
108,109
108,120
108,121
108,203
108,204
108,205
109,110
109,121
110,111
110,121
110,122
110,123
111,112
111,123
112,113
112,123
112,124
112,125
113,114
113,125
113,126
114,115
114,126
115,116
115,126
115,127
115,128
116,117
116,128
117,118
117,128
117,129
117,130
118,119
118,130
118,131
119,131
119,206
120,121
120,132
120,133
120,207
120,208
121,122
121,133
122,123
122,133
122,134
122,135
123,124
123,135
123,136
124,125
124,136
124,137
125,126
125,137
126,127
126,137
126,138
127,128
127,138
127,139
128,129
128,139
128,140
129,130
129,140
129,141
129,142
130,131
130,142
131,142
131,143
131,209
131,210
132,133
132,211
132,212
132,213
133,134
133,214
134,135
134,215
134,216
134,217
135,136
135,218
135,219
136,137
136,220
137,138
137,221
137,222
137,223
138,139
138,224
138,225
139,140
139,226
140,141
140,227
140,228
141,142
141,229
141,230
142,143
142,231
142,232
143,233
143,234
143,235
143,236
143,237
