source,target,thickness
0,1,0.71912366
0,12,1.09508762
0,13,0.73542469
0,144,1.17484330
0,145,1.95581378
0,146,1.45086068
0,147,0.95245219
1,2,1.89422958
1,13,1.86545724
1,148,1.15514556
1,149,0.66239025
1,150,0.78930253
2,3,1.82840855
2,13,1.51243682
2,14,0.69263682
2,15,1.17370165
2,151,0.88558201
3,4,1.25471684
3,15,1.09803577
3,152,0.67426529
3,153,1.71830190
4,5,0.71959597
4,15,1.18764071
4,16,1.39300028
4,17,1.58461150
4,154,1.65581985
4,155,0.72992146
4,156,0.71371085
5,6,1.79362323
5,17,0.79130688
5,18,1.16415453
5,157,1.12529660
6,7,0.65921792
6,18,1.58186742
6,158,1.84444944
6,159,1.76872573
7,8,0.81443297
7,18,1.70927880
7,19,1.60199130
7,160,1.23884865
7,161,0.82227012
7,162,0.69157350
8,9,0.61202499
8,19,1.05880305
8,20,1.50952034
8,21,1.38076040
8,163,1.21668572
8,164,1.48449648
9,10,1.04205059
9,21,1.71120495
9,22,1.97328421
9,165,1.51303513
9,166,1.09756371
10,11,1.21487941
10,22,1.50092671
10,167,1.33410595
10,168,0.77626964
11,22,1.03030836
11,23,1.48064271
11,169,1.81529296
11,170,1.46774928
12,13,0.89663133
12,24,1.26236079
12,25,1.01356895
12,171,1.71293726
12,172,1.76459895
13,14,0.87899029
13,25,1.50286379
14,15,0.61637154
14,25,1.71210430
14,26,1.52981054
14,27,0.92254292
15,16,0.73848824
15,27,0.53163647
16,17,1.53003203
16,27,1.57975549
16,28,1.63378799
17,18,1.80651068
17,28,1.38577649
17,29,1.22663366
17,30,1.27955838
18,19,1.72533994
18,30,1.20528599
18,31,1.18782910
19,20,0.54697536
19,31,1.17715490
20,21,0.62778289
20,31,0.96761149
20,32,1.31982396
21,22,0.60433012
21,32,1.12338997
21,33,0.65812605
22,23,1.78879338
22,33,1.80404928
22,34,1.24042228
22,35,0.56520487
23,35,1.18220969
23,173,1.93714741
23,174,1.32364449
24,25,0.63984011
24,36,1.10133010
24,175,1.02509963
24,176,1.24362525
25,26,1.34120471
25,36,1.96827690
25,37,0.56896167
25,38,0.98989395
26,27,1.97108326
26,38,1.91086532
26,39,1.71436012
27,28,1.96547168
27,39,1.09030904
28,29,0.77405035
28,39,1.10907257
28,40,1.73755419
29,30,0.52505647
29,40,0.96382052
29,41,0.84807720
29,42,1.14073049
30,31,0.82004358
30,42,1.71350998
31,32,1.09848828
31,42,1.16207203
31,43,0.93052826
32,33,1.95505725
32,43,1.19686608
32,44,1.04962261
32,45,1.97179158
33,34,0.79239820
33,45,1.28306339
33,46,0.67661089
34,35,1.64956591
34,46,1.02583504
35,46,1.95886996
35,47,1.54131230
35,177,0.86021498
35,178,1.44561578
36,37,1.05588551
36,48,1.17827195
36,49,0.64639229
36,179,1.38440188
37,38,1.97862314
37,49,0.73939345
38,39,0.59233241
38,49,0.94730135
38,50,1.75310248
39,40,1.19182856
39,50,1.91561736
39,51,1.66995137
40,41,1.27207301
40,51,1.21599849
40,52,1.26449409
41,42,0.67953433
41,52,1.32997982
41,53,1.31010301
41,54,0.79712629
42,43,1.39056768
42,54,1.47713597
42,55,0.91675704
43,44,1.65535461
43,55,1.78072211
43,56,0.70552644
44,45,1.54126463
44,56,1.26042845
44,57,1.03829722
45,46,1.89849571
45,57,1.31417364
45,58,0.91841200
46,47,0.91374765
46,58,0.69955468
47,58,1.76787870
47,59,1.65824223
47,180,1.34849093
47,181,1.13333837
47,182,1.68840819
48,49,0.68574221
48,60,1.92047616
48,61,1.83044271
48,183,0.89527798
48,184,1.62127889
49,50,1.10184404
49,61,1.55635910
50,51,1.29815839
50,61,1.90361723
50,62,1.75322311
50,63,1.46224590
51,52,1.21827039
51,63,1.69314579
51,64,0.94550354
52,53,1.70080745
52,64,1.67283393
52,65,1.74051250
53,54,1.86075143
53,65,1.67109400
53,66,1.65320834
54,55,1.69859684
54,66,0.58986867
54,67,1.20340624
55,56,1.80515252
55,67,1.60488913
55,68,0.75391962
56,57,1.21686865
56,68,1.46315339
57,58,0.66936695
57,68,0.89344917
57,69,1.46955888
57,70,0.77799504
58,59,1.55912041
58,70,1.94635730
59,70,1.20081270
59,71,0.64862495
59,185,1.26421076
59,186,1.01054438
60,61,0.85800342
60,72,1.58251609
60,73,1.61231955
60,187,0.74305279
60,188,1.36393699
60,189,1.70642615
61,62,0.87531361
61,73,0.64786569
62,63,1.34429436
62,73,1.30902249
62,74,1.79246053
63,64,1.89680759
63,74,1.65801748
63,75,1.15109154
64,65,0.60092817
64,75,1.49177273
64,76,0.91511470
64,77,0.80081185
65,66,0.65285110
65,77,1.50218403
65,78,1.87475724
66,67,1.48068122
66,78,1.65886657
67,68,1.19319593
67,78,1.00659648
67,79,1.54660963
68,69,1.85712052
68,79,1.71491131
68,80,0.93160853
69,70,0.53268635
69,80,1.90058570
69,81,1.13274722
69,82,1.61905059
70,71,1.96237954
70,82,1.31458054
71,82,1.05970933
71,83,1.79084116
71,190,0.50537929
72,73,1.93730015
72,84,1.57672337
72,85,1.46830531
72,191,0.84996272
73,74,1.61500773
73,85,1.55571700
73,86,1.55006922
74,75,0.90198211
74,86,1.38169711
75,76,1.14174680
75,86,1.87617402
75,87,1.51716917
75,88,0.67341359
76,77,0.61636366
76,88,0.58835601
77,78,1.93630869
77,88,1.24355437
77,89,0.55215335
77,90,1.50110794
78,79,0.86118205
78,90,1.93343044
78,91,1.27848960
79,80,1.41017822
79,91,1.07230970
80,81,0.72034344
80,91,1.24230053
80,92,1.58197136
80,93,0.72395472
81,82,1.59297671
81,93,1.40494670
81,94,1.16372818
82,83,0.50751502
82,94,1.27226163
83,94,1.30775773
83,95,1.31158216
83,192,0.77094760
83,193,1.33716314
83,194,1.37767709
84,85,1.94064875
84,96,0.64321228
84,195,1.24141502
84,196,1.71513726
85,86,1.96886924
85,96,1.23980661
85,97,1.13649793
86,87,1.32499093
86,97,1.21132949
86,98,0.61804886
86,99,0.57421013
87,88,0.78799142
87,99,1.22178578
87,100,1.15673258
88,89,1.31864786
88,100,1.76081441
89,90,0.71472665
89,100,0.72967344
89,101,1.95917489
89,102,1.94770959
90,91,1.78476390
90,102,1.95801358
91,92,0.72930622
91,102,1.35059276
91,103,1.51706448
91,104,0.50803396
92,93,1.37699520
92,104,0.93212466
93,94,1.77139239
93,104,1.57603984
93,105,1.73050420
94,95,1.19732971
94,105,1.61740676
94,106,0.75530486
95,106,1.65304289
95,107,1.90379476
95,197,0.83146890
95,198,0.92565479
96,97,0.92783866
96,108,0.62203018
96,199,0.63486004
96,200,1.88746135
97,98,1.18725792
97,108,0.83482669
97,109,0.77062063
98,99,0.53530247
98,109,1.47033478
98,110,1.95810088
98,111,1.38449628
99,100,0.69480301
99,111,0.52662169
100,101,1.12519150
100,111,0.79888869
100,112,0.54463933
101,102,1.79269706
101,112,1.88117206
101,113,0.98078246
101,114,1.81329233
102,103,0.82519217
102,114,1.49902637
102,115,1.08802609
103,104,1.41819548
103,115,0.51869175
103,116,0.74289621
104,105,1.72147872
104,116,0.63224161
104,117,0.77118119
105,106,1.00709950
105,117,0.55648815
105,118,1.36313615
106,107,1.63988559
106,118,1.90838710
106,119,0.86011858
107,119,1.57894415
107,201,0.72539017
107,202,1.16868849
108,109,0.54715859
108,120,1.04574075
108,121,1.05548554
108,203,1.09914066
108,204,1.30537849
108,205,1.13137991
109,110,1.38013554
109,121,0.65061519
110,111,0.60616536
110,121,1.88575050
110,122,1.28111573
110,123,1.03956093
111,112,0.92096701
111,123,1.23870245
112,113,0.99567998
112,123,1.93190623
112,124,1.07991331
112,125,1.95702829
113,114,0.80315842
113,125,1.10782091
113,126,0.57235000
114,115,1.75926704
114,126,1.49963819
115,116,1.60728010
115,126,0.52580549
115,127,1.82864712
115,128,1.68060406
116,117,1.64018959
116,128,1.31130146
117,118,0.65961468
117,128,1.53763400
117,129,1.29327005
117,130,1.95717387
118,119,1.62030224
118,130,1.05688461
118,131,1.18712763
119,131,1.53145076
119,206,1.40767577
120,121,0.98811716
120,132,0.53661648
120,133,1.36031926
120,207,1.80867664
120,208,1.58015090
121,122,0.73827169
121,133,1.19483009
122,123,0.57246919
122,133,0.98453081
122,134,0.82852862
122,135,1.79333885
123,124,0.93603287
123,135,1.09372158
123,136,0.75442457
124,125,1.42946342
124,136,0.53920430
124,137,1.78432835
125,126,1.40296951
125,137,0.65167631
126,127,1.80463812
126,137,1.23877162
126,138,0.77184914
127,128,0.91504591
127,138,1.47500581
127,139,1.04807760
128,129,1.40483686
128,139,0.65772078
128,140,0.80150483
129,130,1.42819754
129,140,1.15540245
129,141,1.59330088
129,142,1.76363914
130,131,0.58144924
130,142,0.60164467
131,142,0.65122230
131,143,0.85102754
131,209,1.89877792
131,210,0.88735865
132,133,0.91612338
132,211,1.14160941
132,212,1.72574651
132,213,0.78669904
133,134,1.11368127
133,214,0.56754649
134,135,0.82330305
134,215,1.78380388
134,216,1.53372964
134,217,0.50064434
135,136,0.65250171
135,218,1.99540298
135,219,1.03201055
136,137,1.51546405
136,220,1.08123207
137,138,1.14948887
137,221,1.99469782
137,222,0.90529862
137,223,0.91760724
138,139,1.30288873
138,224,1.32924892
138,225,1.58280450
139,140,1.31813009
139,226,1.41904599
140,141,0.96270550
140,227,1.17437288
140,228,1.35249536
141,142,0.63582405
141,229,0.60739464
141,230,1.28207618
142,143,1.45492245
142,231,1.85635838
142,232,1.81837143
143,233,0.87534978
143,234,1.04820088
143,235,0.82526462
143,236,1.34421529
143,237,1.28112825
