source,target,thickness,material
0,10,1.00000000,beam_material_a
0,11,1.00000000,beam_material_a
0,12,1.00000000,beam_material_b
1,113,1.00000000,beam_material_b
1,293,1.00000000,beam_material_a
1,318,1.00000000,beam_material_b
2,3,1.00000000,beam_material_a
2,5,1.00000000,beam_material_a
2,64,1.00000000,beam_material_a
3,30,1.00000000,beam_material_b
3,119,1.00000000,beam_material_b
4,5,1.00000000,beam_material_b
4,22,1.00000000,beam_material_a
4,63,1.00000000,beam_material_b
5,29,1.00000000,beam_material_b
6,7,1.00000000,beam_material_a
6,38,1.00000000,beam_material_a
6,341,1.00000000,beam_material_a
7,181,1.00000000,beam_material_b
7,334,1.00000000,beam_material_b
8,40,1.00000000,beam_material_a
8,43,1.00000000,beam_material_b
8,47,1.00000000,beam_material_a
9,98,1.00000000,beam_material_b
9,300,1.00000000,beam_material_a
9,305,1.00000000,beam_material_a
10,108,1.00000000,beam_material_b
10,302,1.00000000,beam_material_a
11,32,1.00000000,beam_material_b
11,109,1.00000000,beam_material_b
12,13,1.00000000,beam_material_a
12,223,1.00000000,beam_material_b
13,291,1.00000000,beam_material_b
13,304,1.00000000,beam_material_b
14,49,1.00000000,beam_material_a
14,51,1.00000000,beam_material_a
14,142,1.00000000,beam_material_a
15,79,1.00000000,beam_material_a
15,88,1.00000000,beam_material_b
15,125,1.00000000,beam_material_b
16,80,1.00000000,beam_material_a
16,81,1.00000000,beam_material_a
16,130,1.00000000,beam_material_a
17,18,1.00000000,beam_material_a
17,66,1.00000000,beam_material_a
17,136,1.00000000,beam_material_a
18,121,1.00000000,beam_material_b
18,227,1.00000000,beam_material_a
19,27,1.00000000,beam_material_b
19,69,1.00000000,beam_material_b
19,330,1.00000000,beam_material_a
20,21,1.00000000,beam_material_a
20,288,1.00000000,beam_material_b
20,347,1.00000000,beam_material_a
21,68,1.00000000,beam_material_b
21,129,1.00000000,beam_material_a
22,26,1.00000000,beam_material_b
22,72,1.00000000,beam_material_a
23,24,1.00000000,beam_material_b
23,26,1.00000000,beam_material_b
23,28,1.00000000,beam_material_b
24,339,1.00000000,beam_material_b
24,340,1.00000000,beam_material_b
25,26,1.00000000,beam_material_a
25,27,1.00000000,beam_material_b
25,70,1.00000000,beam_material_b
27,345,1.00000000,beam_material_b
28,29,1.00000000,beam_material_a
28,74,1.00000000,beam_material_b
29,30,1.00000000,beam_material_a
30,75,1.00000000,beam_material_b
31,73,1.00000000,beam_material_a
31,139,1.00000000,beam_material_b
31,314,1.00000000,beam_material_a
32,33,1.00000000,beam_material_b
32,91,1.00000000,beam_material_b
33,45,1.00000000,beam_material_b
33,93,1.00000000,beam_material_a
34,36,1.00000000,beam_material_b
34,94,1.00000000,beam_material_b
34,178,1.00000000,beam_material_b
35,36,1.00000000,beam_material_a
35,198,1.00000000,beam_material_b
35,225,1.00000000,beam_material_a
36,37,1.00000000,beam_material_a
37,96,1.00000000,beam_material_b
37,103,1.00000000,beam_material_b
38,39,1.00000000,beam_material_a
38,171,1.00000000,beam_material_a
39,41,1.00000000,beam_material_b
39,182,1.00000000,beam_material_a
40,42,1.00000000,beam_material_a
40,106,1.00000000,beam_material_a
41,42,1.00000000,beam_material_b
41,179,1.00000000,beam_material_a
42,44,1.00000000,beam_material_b
43,44,1.00000000,beam_material_a
43,240,1.00000000,beam_material_a
44,99,1.00000000,beam_material_b
45,46,1.00000000,beam_material_b
45,185,1.00000000,beam_material_a
46,48,1.00000000,beam_material_b
46,161,1.00000000,beam_material_b
47,48,1.00000000,beam_material_a
47,187,1.00000000,beam_material_b
48,102,1.00000000,beam_material_a
49,50,1.00000000,beam_material_a
49,337,1.00000000,beam_material_a
50,111,1.00000000,beam_material_b
50,333,1.00000000,beam_material_b
51,57,1.00000000,beam_material_b
51,112,1.00000000,beam_material_b
52,55,1.00000000,beam_material_b
52,76,1.00000000,beam_material_a
52,117,1.00000000,beam_material_b
53,54,1.00000000,beam_material_b
