source,target
0,10
0,11
0,12
1,113
1,293
1,318
2,3
2,5
2,64
3,30
3,119
4,5
4,22
4,63
5,29
6,7
6,38
6,341
7,181
7,334
8,40
8,43
8,47
9,98
9,300
9,305
10,108
10,302
11,32
11,109
12,13
12,223
13,291
13,304
14,49
14,51
14,142
15,79
15,88
15,125
16,80
16,81
16,130
17,18
17,66
17,136
18,121
18,227
19,27
19,69
19,330
20,21
20,288
20,347
21,68
21,129
22,26
22,72
23,24
23,26
23,28
24,339
24,340
25,26
25,27
25,70
27,345
28,29
28,74
29,30
30,75
31,73
31,139
31,314
32,33
32,91
33,45
33,93
34,36
34,94
34,178
35,36
35,198
35,225
36,37
37,96
37,103
38,39
38,171
39,41
39,182
40,42
40,106
41,42
41,179
42,44
43,44
43,240
44,99
45,46
45,185
46,48
46,161
47,48
47,187
48,102
49,50
49,337
50,111
50,333
51,57
51,112
52,55
52,76
52,117
53,54
53,55
53,59
54,58
54,114
55,56
56,57
56,143
57,58
58,188
59,60
59,118
60,115
60,116
61,126
61,327
61,329
62,66
62,131
62,135
63,64
63,132
64,65
65,66
65,120
67,138
67,159
67,176
68,69
68,89
69,70
70,72
71,72
71,90
71,134
73,74
73,77
74,75
75,76
76,77
77,141
78,79
78,221
78,312
79,155
80,83
80,211
81,82
81,83
82,86
82,216
83,152
84,86
84,88
84,154
85,86
85,90
85,133
87,88
87,89
87,128
89,90
91,92
91,224
92,93
92,245
93,160
94,309
94,355
95,96
95,166
95,197
96,97
97,104
97,165
98,100
98,169
99,101
99,172
100,101
100,184
101,239
102,107
102,173
103,104
103,177
104,105
105,107
105,229
106,107
106,180
108,109
108,354
109,186
110,236
110,319
110,348
111,112
111,113
112,189
113,325
114,115
114,190
115,196
116,123
116,167
117,118
117,119
118,123
119,120
120,121
121,122
122,123
122,164
124,126
124,321
124,331
125,126
125,128
127,129
127,306
127,323
128,129
130,131
130,133
131,132
132,134
133,134
135,136
135,210
136,137
137,138
137,234
138,250
139,141
139,295
140,142
140,297
140,303
141,143
142,143
144,200
144,207
144,356
145,146
145,147
145,316
146,254
146,294
147,208
147,255
148,150
148,209
148,256
149,150
149,151
149,212
150,287
151,152
151,257
152,213
153,215
153,308
153,350
154,155
154,217
155,220
156,222
156,315
156,349
157,273
157,290
157,298
158,163
158,244
158,248
159,162
159,249
160,161
160,163
161,174
162,163
162,175
164,167
164,228
165,166
165,231
166,167
168,169
168,332
168,343
169,172
170,171
170,299
170,336
171,172
173,174
173,230
174,175
175,176
176,233
177,178
177,180
178,181
179,180
179,182
181,182
183,184
183,238
183,326
184,357
185,186
185,187
186,237
187,241
188,189
188,190
189,192
190,191
191,195
191,242
192,289
192,311
193,194
193,307
193,346
194,195
194,199
195,196
196,197
197,198
198,199
199,226
200,203
200,328
201,202
201,296
201,344
202,203
202,261
203,205
204,205
204,206
204,271
205,207
206,317
206,335
207,324
208,209
208,278
209,267
210,211
210,251
211,212
212,247
213,216
213,253
214,215
214,217
214,219
215,252
216,217
218,219
218,320
218,352
219,220
220,221
221,353
222,223
222,258
223,224
224,260
225,226
225,322
226,292
227,228
227,235
228,232
229,230
229,231
230,233
231,232
232,235
233,234
234,235
236,237
236,238
237,241
238,239
239,240
240,241
242,310
242,313
243,245
243,259
243,280
244,245
244,283
246,247
246,248
246,286
247,251
248,249
249,250
250,251
252,253
252,254
253,257
254,255
255,256
256,257
258,260
258,274
259,260
259,270
261,262
261,264
262,263
262,272
263,264
263,266
264,275
265,266
265,269
265,281
266,268
267,268
267,282
268,279
269,270
269,272
270,274
271,272
271,273
273,274
275,276
275,279
276,301
276,351
277,278
277,338
277,342
278,279
280,281
280,284
281,282
282,285
283,284
283,286
284,285
285,287
286,287
