source,target,thickness
0,10,1.55301001
0,11,1.78377765
0,12,0.74162260
1,113,0.89596252
1,293,1.93374211
1,318,1.41701672
2,3,1.41916959
2,5,1.99580986
2,64,1.39165103
3,30,1.26939185
3,119,1.74425729
4,5,1.90322505
4,22,1.80413037
4,63,1.82979800
5,29,1.06348666
6,7,1.19780449
6,38,1.47459586
6,341,0.53382276
7,181,1.51563007
7,334,1.61112544
8,40,0.88082786
8,43,1.91963933
8,47,1.85888778
9,98,0.83450073
9,300,1.29534969
9,305,1.86294235
10,108,1.62054700
10,302,0.61737621
11,32,1.26863698
11,109,1.07418902
12,13,0.95367532
12,223,1.35627229
13,291,1.88300647
13,304,1.64024100
14,49,0.54461842
14,51,1.56872251
14,142,1.57152040
15,79,1.47302186
15,88,0.95510635
15,125,1.59338300
16,80,0.77857669
16,81,0.85729208
16,130,1.74402214
17,18,0.73898845
17,66,1.08126779
17,136,1.09100447
18,121,1.25008574
18,227,0.52724152
19,27,1.76071276
19,69,1.92268709
19,330,1.48329266
20,21,1.64358358
20,288,1.69208073
20,347,1.46673051
21,68,1.90729978
21,129,0.75829129
22,26,1.11387627
22,72,1.89572463
23,24,1.09131518
23,26,1.97732087
23,28,1.23986803
24,339,1.22879154
24,340,0.69764516
25,26,0.62816350
25,27,0.88555399
25,70,1.12723452
27,345,1.13146010
28,29,0.96803150
28,74,0.66909321
29,30,1.95639067
30,75,0.78408439
31,73,1.25926351
31,139,1.67532578
31,314,1.45412999
32,33,0.55649133
32,91,0.96150939
33,45,1.41913468
33,93,0.71845560
34,36,1.68009244
34,94,1.00156775
34,178,1.58728116
35,36,1.15470914
35,198,0.93180699
35,225,1.52056261
36,37,1.41682734
37,96,1.36555900
37,103,0.68158275
38,39,1.50570114
38,171,0.50577223
39,41,1.10851306
39,182,1.42420034
40,42,0.71588832
40,106,0.52638549
41,42,0.50251822
41,179,0.60023811
42,44,1.55131280
43,44,0.59777052
43,240,0.83475008
44,99,1.76258544
45,46,1.81425045
45,185,1.81422611
46,48,1.10421517
46,161,1.76543320
