source,target
0,1
0,12
0,144
0,145
0,146
1,2
1,13
1,147
1,148
1,149
2,3
2,13
2,14
2,15
2,150
3,4
3,15
3,151
3,152
4,5
4,15
4,16
4,17
4,153
4,154
5,6
5,17
5,18
5,155
6,7
6,18
6,156
7,8
7,18
7,19
7,157
8,9
8,19
8,20
8,21
8,158
8,159
9,10
9,21
9,160
10,11
10,22
10,161
11,23
11,162
11,163
12,13
12,24
12,164
12,165
13,14
13,25
14,15
14,25
14,26
15,16
15,27
16,17
16,27
16,28
17,18
17,29
18,19
18,30
18,31
19,20
19,31
20,21
20,31
20,32
21,22
21,32
21,33
22,23
22,33
22,34
23,35
23,166
24,25
24,36
24,167
24,168
25,26
25,36
25,37
25,38
26,27
26,38
27,28
27,39
28,29
28,39
28,40
29,30
29,40
29,41
29,42
30,31
30,42
31,32
31,43
32,33
32,43
32,44
33,34
33,45
34,35
34,46
35,47
35,169
35,170
36,37
36,48
36,49
36,171
37,38
37,49
38,39
38,50
39,40
39,50
39,51
40,41
40,51
40,52
41,42
41,52
41,53
41,54
42,43
42,54
42,55
43,44
43,55
43,56
44,45
44,56
44,57
45,46
45,57
45,58
46,47
46,58
47,58
47,59
47,172
47,173
48,49
48,60
48,174
49,50
49,61
50,51
50,61
50,62
50,63
51,52
51,63
51,64
52,53
52,64
53,54
53,65
53,66
54,55
54,66
54,67
55,56
55,67
55,68
56,57
56,68
57,58
57,68
57,69
58,59
58,70
59,70
59,71
59,175
60,61
60,72
60,176
61,62
61,73
62,63
62,73
62,74
63,64
63,75
64,65
64,76
64,77
65,66
65,77
66,67
66,78
67,68
67,79
68,69
68,80
69,70
69,81
69,82
70,71
70,82
71,82
71,83
71,177
72,73
72,84
72,178
73,74
73,85
73,86
74,75
74,86
75,76
75,86
75,87
75,88
76,77
76,88
77,78
77,89
78,79
78,90
78,91
79,80
79,91
80,81
80,91
80,92
81,82
81,93
82,83
82,94
83,94
83,95
83,179
84,85
84,96
84,180
85,86
85,96
85,97
86,87
86,98
87,88
87,99
87,100
88,89
88,100
89,90
89,101
89,102
90,91
90,102
91,92
91,103
91,104
92,93
92,104
93,94
93,105
94,95
94,105
94,106
95,106
95,107
95,181
96,97
96,108
96,182
97,98
97,109
98,99
98,110
99,100
99,111
100,101
100,111
100,112
101,102
101,112
101,113
101,114
102,103
102,114
102,115
103,104
103,115
104,105
104,116
105,106
105,117
105,118
106,107
106,118
106,119
107,119
107,183
108,109
108,120
108,184
108,185
109,110
109,121
110,111
110,122
110,123
111,112
111,123
112,113
112,124
112,125
113,114
113,125
113,126
114,115
114,126
115,116
115,126
115,127
115,128
116,117
116,128
117,118
117,129
117,130
118,119
118,130
119,131
119,186
120,121
120,132
120,187
121,122
121,133
122,123
122,133
122,134
122,135
123,124
123,135
123,136
124,125
124,136
124,137
125,126
125,137
126,127
126,137
126,138
127,128
127,138
127,139
128,129
128,139
128,140
129,130
129,140
129,141
129,142
130,131
130,142
131,143
131,188
131,189
132,133
132,190
132,191
132,192
133,134
133,193
134,135
134,194
134,195
134,196
135,136
135,197
135,198
136,137
136,199
137,138
137,200
138,139
138,201
139,140
139,202
140,141
140,203
141,142
141,204
141,205
142,143
142,206
143,207
143,208
143,209
