source,target,thickness
0,1,1.30750555
0,12,0.72988919
0,144,0.76981472
0,145,1.36703175
0,146,0.78034346
1,2,1.78764815
1,13,1.91628653
1,147,1.90655249
1,148,1.77208150
1,149,1.07907795
2,3,1.86506501
2,13,1.17775460
2,14,1.40295752
2,15,0.52317609
2,150,1.98033100
3,4,1.47982129
3,15,1.19619223
3,151,0.83602971
3,152,1.48116104
4,5,1.14139899
4,15,1.09772187
4,16,1.18943059
4,17,0.54305283
4,153,0.73059987
4,154,1.08737219
5,6,1.23764020
5,17,1.29584654
5,18,1.02814460
5,155,1.37998868
6,7,1.51230200
6,18,1.34719179
6,156,1.68220007
7,8,0.54003436
7,18,1.41037105
7,19,1.35430574
7,157,1.19612258
8,9,1.02899617
8,19,0.68652288
8,20,1.29306564
8,21,0.58739778
8,158,1.53487389
8,159,0.92554778
9,10,1.24277841
9,21,0.66479689
9,160,1.03614534
10,11,1.69852071
10,22,1.79420511
10,161,1.29076624
11,23,1.33038873
11,162,1.49597205
11,163,1.94418943
12,13,0.92240952
12,24,0.72421147
12,164,1.66225078
12,165,1.07352588
13,14,0.93883823
13,25,1.93468531
14,15,1.33068638
14,25,1.55730056
14,26,1.92992507
15,16,1.89577297
15,27,0.96581119
16,17,1.05190726
16,27,1.00472420
16,28,1.39325348
17,18,1.54186580
17,29,0.94713291
18,19,0.61539576
18,30,0.64638257
18,31,0.60863348
19,20,0.94980215
19,31,1.32618285
20,21,1.88180757
20,31,1.48591857
20,32,1.40017655
21,22,1.11632282
21,32,1.48707762
21,33,1.66004957
22,23,0.91987740
22,33,0.55349054
22,34,1.21076455
23,35,0.97529506
23,166,1.79501554
24,25,1.22312059
24,36,1.12568252
24,167,0.73176876
24,168,1.28210306
25,26,1.85032727
25,36,0.73299579
25,37,1.70940142
25,38,0.92019281
26,27,1.92298784
26,38,0.86981977
27,28,0.86258019
27,39,0.98678993
28,29,1.39867932
28,39,1.74476070
28,40,1.71107466
29,30,0.78305025
29,40,1.90048736
29,41,0.76407431
29,42,1.83769750
30,31,1.61474171
30,42,1.52783276
31,32,1.70943123
31,43,1.25527954
32,33,1.10180862
32,43,1.73438456
32,44,1.64845138
33,34,0.84813053
33,45,1.66777189
34,35,0.74827192
34,46,1.24743001
35,47,0.96473314
35,169,1.34261416
35,170,0.68119051
36,37,1.28137649
36,48,1.16967484
36,49,1.12831585
36,171,1.18977694
37,38,0.55469891
37,49,1.80005140
38,39,0.99341114
38,50,1.78224458
39,40,1.90972383
39,50,0.89656008
39,51,0.50701637
40,41,0.53813583
40,51,1.78740545
40,52,0.79122941
41,42,0.65712846
41,52,1.43729580
41,53,1.26133970
41,54,1.15217858
42,43,1.04271055
42,54,0.56093069
42,55,0.98693928
43,44,1.94920883
43,55,0.56413296
43,56,0.99465303
44,45,0.58324146
44,56,0.52819465
44,57,1.13988423
45,46,1.46549843
45,57,1.09086751
45,58,0.86397739
46,47,1.41416501
46,58,1.54311527
47,58,1.04794969
47,59,0.60971153
47,172,1.09784138
47,173,1.52153792
48,49,1.34716404
48,60,0.99900674
48,174,1.25532268
49,50,0.57659283
49,61,1.94729020
50,51,1.48773807
50,61,1.16897313
50,62,0.68708803
50,63,1.46847327
51,52,0.66870201
51,63,0.65128011
51,64,1.66143583
52,53,0.88159680
52,64,1.87421102
53,54,1.11347622
53,65,0.50136046
53,66,1.75133489
54,55,1.18506077
54,66,1.27508596
54,67,1.60082229
55,56,0.84702311
55,67,1.51296724
55,68,1.48716682
56,57,1.10619393
56,68,1.12431251
57,58,0.67434787
57,68,1.13051909
57,69,1.44129590
58,59,0.93120507
58,70,1.09234945
59,70,1.32998335
59,71,1.52244376
59,175,1.78895931
60,61,1.55693030
60,72,1.92772183
60,176,1.70064074
61,62,1.72271053
61,73,1.40976173
62,63,1.80578299
62,73,0.71401759
62,74,1.27393098
63,64,1.37007903
63,75,1.90770386
64,65,1.30088584
64,76,1.09500644
64,77,0.78128343
65,66,0.76256700
65,77,1.12064466
66,67,1.33214398
66,78,1.84027495
67,68,1.46803606
67,79,1.09763980
68,69,1.45123523
68,80,1.86475947
69,70,1.46119469
69,81,0.95938567
69,82,0.72414777
70,71,0.69125506
70,82,1.36236699
71,82,1.32015424
71,83,0.62870900
71,177,1.57366110
72,73,1.38460598
72,84,0.87306043
72,178,1.75830024
73,74,1.87754282
73,85,1.50769831
73,86,0.98246604
74,75,1.04467262
74,86,1.08118398
75,76,0.77636572
75,86,1.42890191
75,87,1.91912682
75,88,1.80832780
76,77,1.43969995
76,88,1.94100108
77,78,1.94489923
77,89,1.23378269
78,79,0.99847635
78,90,0.79983691
78,91,1.32943953
79,80,0.77944894
79,91,0.63665527
80,81,1.35504174
80,91,0.68067950
80,92,0.86042500
81,82,1.68686233
81,93,0.87870105
82,83,1.91061275
82,94,1.86564086
83,94,0.95450266
83,95,1.05950880
83,179,1.74389717
84,85,1.90000317
84,96,1.77854903
84,180,0.99025940
85,86,1.97675213
85,96,0.77388473
85,97,1.49488581
86,87,1.44677991
86,98,1.72726450
87,88,1.08534968
87,99,1.77328344
87,100,0.70394541
88,89,1.31426840
88,100,0.86295749
89,90,0.96141333
89,101,1.17265297
89,102,1.31992339
90,91,0.77029914
90,102,1.58613788
91,92,1.05983920
91,103,1.71112817
91,104,0.76844605
92,93,1.58582233
92,104,1.36578473
93,94,1.67539621
93,105,0.71409423
94,95,1.83913146
94,105,0.60878283
94,106,1.66591302
95,106,1.93908579
95,107,1.97773069
95,181,1.69704616
96,97,0.73120207
96,108,0.64856212
96,182,1.36147731
97,98,1.49951902
97,109,1.07431144
98,99,1.58233497
98,110,0.71441687
99,100,0.61080864
99,111,1.54362442
100,101,1.78406104
100,111,1.81182586
100,112,1.48568015
101,102,0.64746086
101,112,0.72745716
101,113,0.96935545
101,114,0.75629589
102,103,1.69110763
102,114,0.72029759
102,115,0.64074564
103,104,1.45929046
103,115,0.66350395
104,105,0.94135183
104,116,1.46110239
105,106,1.39244687
105,117,1.93845045
105,118,1.24514282
106,107,0.68902893
106,118,0.90767858
106,119,1.51165425
107,119,1.41225809
107,183,1.82562869
108,109,0.74628093
108,120,0.82998710
108,184,0.86262998
108,185,1.00105690
109,110,1.64809325
109,121,1.47577146
110,111,1.67892920
110,122,1.49750216
110,123,1.62014158
111,112,0.57457351
111,123,0.93785628
112,113,0.54321595
112,124,1.93518365
112,125,0.59529224
113,114,1.87495857
113,125,1.91019523
113,126,1.08404211
114,115,1.33093652
114,126,1.99532206
115,116,0.51995610
115,126,0.57040225
115,127,1.08969337
115,128,1.08489522
116,117,1.84201974
116,128,1.16134360
117,118,0.61433966
117,129,0.58081217
117,130,0.88054271
118,119,1.20525197
118,130,0.75533414
119,131,0.86625910
119,186,0.70663929
120,121,1.81404214
120,132,0.97023303
120,187,1.98534362
121,122,1.34413784
121,133,1.68829882
122,123,1.30426720
122,133,0.59960186
122,134,1.34505001
122,135,1.90940453
123,124,1.50999139
123,135,1.79085606
123,136,1.59033076
124,125,1.55257946
124,136,0.54307540
124,137,1.25927765
125,126,1.49404451
125,137,0.86480883
126,127,1.06020874
126,137,0.83904910
126,138,1.03085502
127,128,0.93052355
127,138,1.15109185
127,139,1.10586409
128,129,0.91189118
128,139,0.90673415
128,140,1.39014354
129,130,0.62722060
129,140,1.91474528
129,141,1.86458116
129,142,1.42662799
130,131,0.73467592
130,142,1.96848454
131,143,1.79231134
131,188,0.94347563
131,189,0.51423622
132,133,1.19204537
132,190,1.00022296
132,191,1.52357449
132,192,0.63393441
133,134,1.33983123
133,193,0.70123274
134,135,0.75373766
134,194,1.73915828
134,195,1.16702323
134,196,1.55690784
135,136,1.97985187
135,197,0.81652810
135,198,1.46805535
136,137,0.83267584
136,199,1.71231994
137,138,1.71245638
137,200,1.78628525
138,139,1.07769142
138,201,0.50515564
139,140,1.31067623
139,202,1.84684352
140,141,1.23261675
140,203,1.12491732
141,142,1.94155134
141,204,1.80192675
141,205,1.95960696
142,143,1.80722196
142,206,1.98396243
143,207,0.73082161
143,208,1.45053811
143,209,1.64473400
