source,target,thickness,material
0,10,1.00000000,beam_material_b
0,11,1.00000000,beam_material_a
0,288,1.00000000,beam_material_b
1,113,1.00000000,beam_material_a
1,294,1.00000000,beam_material_b
1,295,1.00000000,beam_material_b
2,3,1.00000000,beam_material_b
2,5,1.00000000,beam_material_a
2,63,1.00000000,beam_material_b
3,29,1.00000000,beam_material_b
3,119,1.00000000,beam_material_b
4,5,1.00000000,beam_material_b
4,20,1.00000000,beam_material_a
4,62,1.00000000,beam_material_a
5,28,1.00000000,beam_material_b
6,180,1.00000000,beam_material_b
6,300,1.00000000,beam_material_b
6,301,1.00000000,beam_material_b
7,39,1.00000000,beam_material_b
7,42,1.00000000,beam_material_a
7,46,1.00000000,beam_material_b
8,99,1.00000000,beam_material_a
8,302,1.00000000,beam_material_a
8,303,1.00000000,beam_material_a
9,168,1.00000000,beam_material_b
9,292,1.00000000,beam_material_b
9,293,1.00000000,beam_material_a
10,31,1.00000000,beam_material_b
10,109,1.00000000,beam_material_a
11,221,1.00000000,beam_material_b
11,289,1.00000000,beam_material_b
12,48,1.00000000,beam_material_a
12,50,1.00000000,beam_material_b
12,141,1.00000000,beam_material_b
13,80,1.00000000,beam_material_a
13,89,1.00000000,beam_material_a
13,124,1.00000000,beam_material_b
14,81,1.00000000,beam_material_b
14,82,1.00000000,beam_material_a
14,130,1.00000000,beam_material_b
15,16,1.00000000,beam_material_b
15,65,1.00000000,beam_material_a
15,136,1.00000000,beam_material_b
16,121,1.00000000,beam_material_b
16,225,1.00000000,beam_material_a
17,25,1.00000000,beam_material_a
17,68,1.00000000,beam_material_b
17,290,1.00000000,beam_material_a
18,19,1.00000000,beam_material_b
18,296,1.00000000,beam_material_a
18,297,1.00000000,beam_material_b
19,67,1.00000000,beam_material_a
19,129,1.00000000,beam_material_b
20,24,1.00000000,beam_material_b
20,71,1.00000000,beam_material_b
21,22,1.00000000,beam_material_b
21,24,1.00000000,beam_material_b
21,27,1.00000000,beam_material_b
22,26,1.00000000,beam_material_b
22,77,1.00000000,beam_material_a
23,24,1.00000000,beam_material_b
23,25,1.00000000,beam_material_a
23,69,1.00000000,beam_material_a
25,26,1.00000000,beam_material_a
26,291,1.00000000,beam_material_a
27,28,1.00000000,beam_material_b
27,73,1.00000000,beam_material_b
28,29,1.00000000,beam_material_a
29,74,1.00000000,beam_material_a
30,72,1.00000000,beam_material_b
30,78,1.00000000,beam_material_a
30,139,1.00000000,beam_material_b
31,32,1.00000000,beam_material_b
31,93,1.00000000,beam_material_a
32,44,1.00000000,beam_material_a
32,95,1.00000000,beam_material_b
33,35,1.00000000,beam_material_b
33,177,1.00000000,beam_material_a
33,323,1.00000000,beam_material_a
34,35,1.00000000,beam_material_a
34,198,1.00000000,beam_material_a
34,223,1.00000000,beam_material_b
35,36,1.00000000,beam_material_a
36,97,1.00000000,beam_material_a
36,104,1.00000000,beam_material_b
37,38,1.00000000,beam_material_a
37,170,1.00000000,beam_material_b
37,322,1.00000000,beam_material_a
38,40,1.00000000,beam_material_b
38,181,1.00000000,beam_material_b
39,41,1.00000000,beam_material_a
39,107,1.00000000,beam_material_a
40,41,1.00000000,beam_material_b
40,178,1.00000000,beam_material_a
41,43,1.00000000,beam_material_b
42,43,1.00000000,beam_material_a
42,238,1.00000000,beam_material_a
43,100,1.00000000,beam_material_b
44,45,1.00000000,beam_material_a
44,185,1.00000000,beam_material_b
45,47,1.00000000,beam_material_b
45,161,1.00000000,beam_material_a
46,47,1.00000000,beam_material_b
46,187,1.00000000,beam_material_b
47,103,1.00000000,beam_material_b
48,49,1.00000000,beam_material_b
48,305,1.00000000,beam_material_b
49,111,1.00000000,beam_material_b
49,306,1.00000000,beam_material_a
50,56,1.00000000,beam_material_a
50,112,1.00000000,beam_material_a
51,54,1.00000000,beam_material_b
51,75,1.00000000,beam_material_a
51,117,1.00000000,beam_material_a
52,53,1.00000000,beam_material_b
52,54,1.00000000,beam_material_a
52,58,1.00000000,beam_material_a
53,57,1.00000000,beam_material_b
53,114,1.00000000,beam_material_b
54,55,1.00000000,beam_material_b
55,56,1.00000000,beam_material_b
55,142,1.00000000,beam_material_b
56,57,1.00000000,beam_material_a
