source,target
0,10
0,11
0,288
1,113
1,294
1,295
2,3
2,5
2,63
3,29
3,119
4,5
4,20
4,62
5,28
6,180
6,300
6,301
7,39
7,42
7,46
8,99
8,302
8,303
9,168
9,292
9,293
10,31
10,109
11,221
11,289
12,48
12,50
12,141
13,80
13,89
13,124
14,81
14,82
14,130
15,16
15,65
15,136
16,121
16,225
17,25
17,68
17,290
18,19
18,296
18,297
19,67
19,129
20,24
20,71
21,22
21,24
21,27
22,26
22,77
23,24
23,25
23,69
25,26
26,291
27,28
27,73
28,29
29,74
30,72
30,78
30,139
31,32
31,93
32,44
32,95
33,35
33,177
33,323
34,35
34,198
34,223
35,36
36,97
36,104
37,38
37,170
37,322
38,40
38,181
39,41
39,107
40,41
40,178
41,43
42,43
42,238
43,100
44,45
44,185
45,47
45,161
46,47
46,187
47,103
48,49
48,305
49,111
49,306
50,56
50,112
51,54
51,75
51,117
52,53
52,54
52,58
53,57
53,114
54,55
55,56
55,142
56,57
57,188
58,59
58,118
59,115
59,116
60,125
60,307
60,308
61,65
61,131
61,135
62,63
62,132
63,64
64,65
64,120
66,138
66,159
66,175
67,68
67,90
68,69
69,71
70,71
70,91
70,134
72,73
72,76
73,74
74,75
75,76
76,140
77,78
77,298
78,299
79,80
79,219
79,312
80,154
81,84
81,210
82,83
82,84
83,87
83,215
84,150
85,87
85,89
85,153
86,87
86,91
86,133
88,89
88,90
88,128
90,91
92,200
92,275
92,335
93,94
93,222
94,95
94,244
95,160
96,97
96,166
96,197
97,98
98,105
98,165
99,101
99,169
100,102
100,171
101,102
101,184
102,237
103,108
103,172
104,105
104,176
105,106
106,108
106,227
107,108
107,179
109,186
109,304
110,183
110,234
110,326
111,112
111,113
112,189
113,329
114,115
114,190
115,196
116,123
116,167
117,118
117,119
118,123
119,120
120,121
121,122
122,123
122,164
124,125
124,128
125,309
126,127
126,310
126,311
127,129
127,313
128,129
130,131
130,133
131,132
132,134
133,134
135,136
135,209
136,137
137,138
137,232
138,249
139,140
139,314
140,142
141,142
141,315
143,206
143,333
143,334
144,145
144,155
144,347
145,207
145,254
146,148
146,208
146,255
147,148
147,149
147,211
148,287
149,150
149,256
150,212
151,152
151,328
151,346
152,214
152,327
153,154
153,216
154,218
155,277
155,348
156,220
156,316
156,317
157,272
157,318
157,319
158,163
158,243
158,247
159,162
159,248
160,161
160,163
161,173
162,163
162,174
164,167
164,226
165,166
165,229
166,167
168,169
168,320
169,171
170,171
170,321
172,173
172,228
173,174
174,175
175,231
176,177
176,179
177,180
178,179
178,181
180,181
182,183
182,184
182,236
183,324
184,325
185,186
185,187
186,235
187,239
188,189
188,190
189,192
190,191
191,195
191,241
192,330
192,349
193,194
193,240
193,345
194,195
194,199
195,196
196,197
197,198
198,199
199,344
200,201
200,331
201,202
201,260
202,204
202,332
203,204
203,270
203,336
204,206
205,206
205,337
205,338
207,208
207,278
208,266
209,210
209,250
210,211
211,246
212,215
212,252
213,214
213,216
213,217
214,251
215,216
217,218
217,339
218,219
219,340
220,221
220,257
221,222
222,259
223,224
223,341
224,342
224,343
225,226
225,233
226,230
227,228
227,229
228,231
229,230
230,233
231,232
232,233
234,235
234,236
235,239
236,237
237,238
238,239
240,241
240,350
241,351
242,244
242,258
242,280
243,244
243,283
245,246
245,247
245,286
246,250
247,248
248,249
249,250
251,252
251,253
252,256
253,254
253,352
254,255
255,256
257,259
257,273
258,259
258,269
260,261
260,263
261,262
261,271
262,263
262,265
263,274
264,265
264,268
264,281
265,267
266,267
266,282
267,279
268,269
268,271
269,273
270,271
270,272
272,273
274,275
274,279
275,276
276,353
276,355
277,278
277,354
278,279
280,281
280,284
281,282
282,285
283,284
283,286
284,285
285,287
286,287
